Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
LN,106733-9,"Troponin I.cardiac [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay",106733-9,,ug/L,,LOINC_db
LN,106734-7,"Troponin T.cardiac [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay",106734-7,,ug/L,,LOINC_db
LN,106745-3,Right ventricular End-diastolic volume fraction by MR,106745-3,,%,%,LOINC_db
LN,106746-1,Left ventricular End-diastolic volume by MR,106746-1,,mL,mL,LOINC_db
LN,106747-9,Right ventricular End-diastolic volume by MR,106747-9,,mL,mL,LOINC_db
LN,106748-7,Left ventricular End-diastolic volume index by MR,106748-7,,%,%,LOINC_db
LN,106749-5,Left ventricular End-systolic volume by MR,106749-5,,mL,mL,LOINC_db
LN,106750-3,Right ventricular End-systolic volume by MR,106750-3,,mL,mL,LOINC_db
LN,106751-1,Left ventricular End-systolic volume index by MR,106751-1,,%,%,LOINC_db
LN,106752-9,Right ventricular End-systolic volume index by MR,106752-9,,%,%,LOINC_db
LN,106753-7,Right ventricular End-systolic frame [Time] by MR,106753-7,,mm,mm,LOINC_db
LN,106754-5,Left ventricular End-systolic frame [Time] by MR,106754-5,,mm,mm,LOINC_db
LN,106755-2,Right ventricular End-diastolic frame [Time] by MR,106755-2,,mm,mm,LOINC_db
LN,106756-0,Left ventricular End-diastolic frame [Time] by MR,106756-0,,mm,mm,LOINC_db
LN,106757-8,Right ventricular Mass index by MR,106757-8,,g/m2,g/m2,LOINC_db
LN,106758-6,Left ventricular Mass index by MR,106758-6,,g/m2,g/m2,LOINC_db
LN,106759-4,Right ventricular Mass by MR,106759-4,,g,g,LOINC_db
LN,106760-2,Left ventricular Mass by MR,106760-2,,g,g,LOINC_db
LN,106761-0,Right ventricular Cardiac output by MR,106761-0,,L/min,,LOINC_db
LN,106764-4,Heart Shunt lesion type by US,106764-4,,nan,,LOINC_db
LN,106765-1,Heart Shunt size by US,106765-1,,nan,,LOINC_db
LN,106766-9,Heart Shunt directionality by US,106766-9,,nan,,LOINC_db
LN,106767-7,Ascending thoracic aorta Diameter by MR,106767-7,,cm;mm,,LOINC_db
